"data_id","age","language","form","birth_order","ethnicity","sex","mom_ed","measure","vocab","demo","n","demo_label"
246,29,"English","WS","Second","White","Male","Secondary","production",75,"All Data",5498,"All Data (n = 5498)"
247,25,"English","WS","Second","White","Female","Secondary","production",541,"All Data",5498,"All Data (n = 5498)"
248,30,"English","WS","Second","White","Male","Secondary","production",603,"All Data",5498,"All Data (n = 5498)"
249,25,"English","WS","First","White","Female","Secondary","production",139,"All Data",5498,"All Data (n = 5498)"
250,27,"English","WS","First","White","Female","Secondary","production",215,"All Data",5498,"All Data (n = 5498)"
251,27,"English","WS","First","White","Female","Secondary","production",677,"All Data",5498,"All Data (n = 5498)"
252,25,"English","WS","Third","White","Female","Secondary","production",23,"All Data",5498,"All Data (n = 5498)"
253,28,"English","WS","Third","White","Male","Secondary","production",414,"All Data",5498,"All Data (n = 5498)"
254,27,"English","WS","Fourth","White","Female","Secondary","production",134,"All Data",5498,"All Data (n = 5498)"
255,25,"English","WS","Third","White","Female","Secondary","production",163,"All Data",5498,"All Data (n = 5498)"
256,25,"English","WS","First","White","Male","Secondary","production",479,"All Data",5498,"All Data (n = 5498)"
257,27,"English","WS","Second","White","Female","Secondary","production",366,"All Data",5498,"All Data (n = 5498)"
258,28,"English","WS","Second","White","Male","Secondary","production",433,"All Data",5498,"All Data (n = 5498)"
259,27,"English","WS","Fourth","White","Male","Secondary","production",29,"All Data",5498,"All Data (n = 5498)"
260,27,"English","WS","First","White","Male","Secondary","production",424,"All Data",5498,"All Data (n = 5498)"
261,27,"English","WS","Third","White","Female","Secondary","production",295,"All Data",5498,"All Data (n = 5498)"
262,30,"English","WS","Second","Black","Female","College","production",324,"All Data",5498,"All Data (n = 5498)"
263,19,"English","WS","Fourth","Black","Female","Some College","production",60,"All Data",5498,"All Data (n = 5498)"
264,25,"English","WS","Fourth","Other","Male","College","production",45,"All Data",5498,"All Data (n = 5498)"
265,25,"English","WS","First","Black","Male","Some Secondary","production",38,"All Data",5498,"All Data (n = 5498)"
266,27,"English","WS","Second","Black","Female","Some Secondary","production",307,"All Data",5498,"All Data (n = 5498)"
267,24,"English","WS","First","Black","Female","Some Secondary","production",172,"All Data",5498,"All Data (n = 5498)"
268,21,"English","WS","First","Black","Male","Secondary","production",554,"All Data",5498,"All Data (n = 5498)"
269,19,"English","WS","First","Black","Female","Some Secondary","production",580,"All Data",5498,"All Data (n = 5498)"
270,28,"English","WS","First","Black","Male","Primary","production",106,"All Data",5498,"All Data (n = 5498)"
271,22,"English","WS","Third","Black","Female","Some Secondary","production",327,"All Data",5498,"All Data (n = 5498)"
272,16,"English","WS","First","Black","Male","Some College","production",83,"All Data",5498,"All Data (n = 5498)"
273,27,"English","WS","Third","Black","Female","Some Secondary","production",374,"All Data",5498,"All Data (n = 5498)"
274,21,"English","WS","Third","Black","Male","Some College","production",152,"All Data",5498,"All Data (n = 5498)"
275,30,"English","WS","Third","Black","Male","Secondary","production",357,"All Data",5498,"All Data (n = 5498)"
276,18,"English","WS","Second","Black","Female","Some College","production",42,"All Data",5498,"All Data (n = 5498)"
